tile;class;absolute_diff;ref_count
tile_splitted_2818_32247;1;1764;543
tile_splitted_2818_32247;2;0;103791
tile_splitted_2818_32247;3_4;0;35844
tile_splitted_2818_32247;9;0;0
tile_splitted_2819_32247;1;593;1227
tile_splitted_2819_32247;2;115;60309
tile_splitted_2819_32247;3_4;964;26361
tile_splitted_2819_32247;9;0;0
tile_splitted_2819_32248;1;4023;617
tile_splitted_2819_32248;2;0;75283
tile_splitted_2819_32248;3_4;0;32623
tile_splitted_2819_32248;9;0;0
tile_splitted_2818_32248;1;8298;1464
tile_splitted_2818_32248;2;0;123447
tile_splitted_2818_32248;3_4;0;38277
tile_splitted_2818_32248;9;0;0
